brand,po_number,channel,order_date,delivered_date,fulfillment_center,units,requested_sar,received_sar,accept_pct,fulfill_pct,outcome,commission_rate_pct,commission_sar
Marah,5A5RRTQI,Amazon Retail,4/19/2026,4/23/2026,JED4,250,1579.82,1552.32,100,98,Shortage,6,93.14
Marah,2ZQ63SQZ,Amazon Retail,4/26/2026,5/1/2026,RUH8,17,173.7,173.7,100,100,Delivered,6,10.42
Marah,5C8HGLYP,Amazon Retail,4/26/2026,6/9/2026,JED4,12,146.2,237.4,100,162,Delivered,6,14.24
Marah,4DM5ZX9S,Amazon Retail,5/3/2026,5/8/2026,RUH8,6,278.4,758.4,100,272,Delivered,6,45.5
Marah,5ZC4GIJB,Amazon Retail,5/3/2026,5/7/2026,JED4,6,278.4,758.4,100,272,Delivered,6,45.5
Marah,6YXMCSBG,Amazon Retail,5/10/2026,5/20/2026,RUH8,4,182.4,182.4,100,100,Delivered,6,10.94
Marah,7FQQP3YA,Amazon Retail,5/10/2026,5/14/2026,JED4,9,364.8,364.8,100,100,Delivered,6,21.89
Marah,4HJZN3HS,Amazon Retail,5/14/2026,5/20/2026,JED4,5,168.9,65.1,100,39,Shortage,6,3.91
Marah,5YTDVHBW,Amazon Retail,5/14/2026,5/23/2026,RUH8,235,1292.5,1287,100,100,Shortage,6,77.22
Marah,64ZRO2IW,Amazon Retail,5/14/2026,5/19/2026,JED4,280,1540,1540,100,100,Delivered,6,92.4
Marah,4J9CPFNV,Amazon Retail,5/17/2026,6/11/2026,RUH8,3,102.9,102.9,100,100,Delivered,6,6.17
Marah,6G32T7VG,Amazon Retail,5/17/2026,6/7/2026,JED4,2,206.4,206.4,100,100,Delivered,6,12.38
Marah,2B23XHGH,Amazon Retail,5/24/2026,6/18/2026,JED4,32,716.7,700.3,100,98,Shortage,6,42.02
Marah,57VZIBCA,Amazon Retail,5/24/2026,6/3/2026,RUH8,9,530.4,242.4,100,46,Shortage,6,14.54
Marah,25WE4Y7O,Amazon Retail,5/31/2026,7/29/2026,JED4,2,55.2,0,100,0,Cancelled,6,0
Marah,31WXVSCY,Amazon Retail,5/31/2026,6/7/2026,RUH8,2,73.2,73.2,100,100,Delivered,6,4.39
Marah,27HTOR4Q,Amazon Retail,6/7/2026,6/10/2026,RUH8,2,91.2,91.2,100,100,Delivered,6,5.47
Marah,77DN671B,Amazon Retail,6/7/2026,7/14/2026,JED4,10,348,91.2,100,26,Cancelled,6,5.47
Marah,6YXQJTKI,Amazon Retail,6/14/2026,6/18/2026,RUH8,137,833.7,833.7,100,100,Delivered,6,50.02
Marah,78GBUJ1W,Amazon Retail,6/14/2026,6/20/2026,RDF1,12,367.2,367.2,100,100,Delivered,6,22.03
Marah,8MHCMNQO,Amazon Retail,6/14/2026,6/17/2026,JED4,20,660,660,100,100,Delivered,6,39.6
Marah,5R5X8LID,Amazon Retail,6/21/2026,6/28/2026,JED4,9,201.4,201.4,100,100,Delivered,6,12.08
Marah,6DPTSK1M,Amazon Retail,6/21/2026,6/24/2026,RUH8,13,157.9,157.9,100,100,Delivered,6,9.47
Marah,2AMQJ9LR,Amazon Retail,6/28/2026,7/1/2026,RUH8,5,27.5,27.5,100,100,Delivered,6,1.65
Marah,6HIM13WU,Amazon Retail,7/5/2026,7/8/2026,RDF1,2,73.2,73.2,100,100,Delivered,6,4.39
Marah,7HEB8XWB,Amazon Retail,7/5/2026,7/8/2026,JED4,8,408,408,100,100,Delivered,6,24.48
Marah,7X4T9L9X,Amazon Retail,7/5/2026,7/10/2026,RUH8,81,458.72,440,100,96,Shortage,6,26.4
Marah,224Y4ETZ,Amazon Retail,7/12/2026,7/15/2026,RDF1,2,206.4,206.4,100,100,Delivered,6,12.38
Marah,3UR2NYQH,Amazon Retail,7/12/2026,7/14/2026,RUH8,15,82.5,82.5,100,100,Delivered,6,4.95
Marah,74LAZ8YS,Amazon Retail,7/12/2026,7/14/2026,JED4,22,495.2,385.2,100,78,Shortage,6,23.11
Marah,32IYI3CV,Amazon Retail,7/14/2026,7/29/2026,RUH8,12,547.2,0,0,0,Cancelled,6,0
Marah,6XBWLRCV,Amazon Retail,7/14/2026,7/29/2026,JED4,6,273.6,0,0,0,Cancelled,6,0
Marah,65T5PXVI,Amazon Retail,7/19/2026,7/28/2026,RDF1,10,330,330,100,100,Delivered,6,19.8
Marah,6Z9UWMBO,Amazon Retail,7/19/2026,7/29/2026,RUH8,95,577.5,577.5,100,100,Delivered,6,34.65
Marah,7CS7ZUYR,Amazon Retail,7/19/2026,7/29/2026,JED4,222,2310,2310,100,100,Delivered,6,138.6
Marah,5249UCBK,Amazon Retail,7/26/2026,7/28/2026,RUH8,45,247.5,247.5,100,100,Delivered,6,14.85
Marah,64TUIPCQ,Amazon Retail,7/26/2026,8/9/2026,JED4,70,385,385,100,100,Delivered,6,23.1
Marah,13WKUXGQ,Amazon Retail,8/6/2026,8/12/2026,JED4,8,364.8,364.8,100,100,Delivered,6,21.89
Marah,17WV7XMX,Amazon Retail,8/6/2026,8/11/2026,RDF1,10,456,456,100,100,Delivered,6,27.36
Marah,53LUQGQJ,Amazon Retail,8/6/2026,8/12/2026,JED4,10,110,110,100,100,Delivered,6,6.6
SONDOS,8VVFT9PI,Amazon Retail,9/14/2025,3/1/2026,JED4,6,328.8,0,0,0,Cancelled,6,0
SONDOS,6CRLP61F,Amazon Retail,9/21/2025,3/1/2026,JED4,5,309.2,0,100,0,Cancelled,6,0
SONDOS,2OR6EQMN,Amazon Retail,9/28/2025,3/1/2026,JED4,6,331.64,0,100,0,Cancelled,6,0
SONDOS,32EZOEJU,Amazon Retail,9/28/2025,3/1/2026,RUH8,1,102.8,205.6,100,200,Delivered,6,12.34
SONDOS,13XNC3UZ,Amazon Retail,10/5/2025,3/1/2026,JED4,4,164.4,0,0,0,Cancelled,6,0
SONDOS,8C8ZHJUB,Amazon Retail,10/5/2025,3/1/2026,RUH8,12,90,0,0,0,Cancelled,6,0
SONDOS,4TN3ZVSL,Amazon Retail,10/12/2025,12/31/2025,JED4,8,476.4,0,100,0,Cancelled,6,0
SONDOS,6PP725QB,Amazon Retail,10/12/2025,11/2/2025,RUH8,18,1101.6,1101.6,100,100,Delivered,6,66.1
SONDOS,5NRV1UJB,Amazon Retail,10/19/2025,3/1/2026,JED4,20,1224,0,0,0,Cancelled,6,0
SONDOS,78NAQWEM,Amazon Retail,10/19/2025,3/1/2026,RUH8,14,212.4,0,0,0,Cancelled,6,0
SONDOS,7PSVFJOX,Amazon Retail,10/26/2025,3/1/2026,JED4,30,1548.78,0,0,0,Cancelled,6,0
SONDOS,8RSMCYZA,Amazon Retail,10/26/2025,3/1/2026,RUH8,30,225,0,0,0,Cancelled,6,0
SONDOS,481D75AL,Amazon Retail,11/2/2025,3/1/2026,RUH8,31,881.15,0,0,0,Cancelled,6,0
SONDOS,7CR8MEDE,Amazon Retail,11/2/2025,3/1/2026,JED4,26,1150.9,0,0,0,Cancelled,6,0
SONDOS,4MXAY6IE,Amazon Retail,11/6/2025,3/1/2026,JED4,1,102.8,0,0,0,Cancelled,6,0
SONDOS,4SOV5ZPQ,Amazon Retail,11/9/2025,3/1/2026,RUH8,80,1476.2,0,0,0,Cancelled,6,0
SONDOS,89E9VAQM,Amazon Retail,11/9/2025,3/1/2026,JED4,62,2288.6,0,0,0,Cancelled,6,0
SONDOS,3VQF583P,Amazon Retail,11/16/2025,3/1/2026,JED4,96,2974.85,0,0,0,Cancelled,6,0
SONDOS,7J5A33FT,Amazon Retail,11/16/2025,3/1/2026,RUH8,103,2444.75,0,0,0,Cancelled,6,0
SONDOS,1JV74U5F,Amazon Retail,11/23/2025,3/1/2026,JED4,112,3112.85,0,0,0,Cancelled,6,0
SONDOS,2ZICET5J,Amazon Retail,11/23/2025,3/1/2026,RUH8,110,2179.3,0,0,0,Cancelled,6,0
SONDOS,6DY1IPME,Amazon Retail,11/30/2025,1/8/2026,RUH8,93,1808.25,1898.25,100,105,Delivered,6,113.9
SONDOS,6WB73PWY,Amazon Retail,11/30/2025,2/28/2026,JED4,89,2358.45,2511.45,100,106,Delivered,6,150.69
SONDOS,6CZVU75G,Amazon Retail,12/7/2025,12/31/2025,JED4,8,202.38,239.94,100,119,Delivered,6,14.4
SONDOS,7M6TKRHR,Amazon Retail,12/7/2025,1/2/2026,RUH8,2,26.66,26.66,100,100,Delivered,6,1.6
SONDOS,6PSDP49U,Amazon Retail,12/21/2025,12/27/2025,JED4,2,106.8,0,100,0,Cancelled,6,0
SONDOS,6UBMEEFU,Amazon Retail,12/28/2025,1/4/2026,JED4,1,11.75,70.5,100,600,Delivered,6,4.23
SONDOS,6V3M52MA,Amazon Retail,12/28/2025,1/4/2026,RUH8,2,122.4,122.4,100,100,Delivered,6,7.34
SONDOS,5ILLL7BX,Amazon Retail,12/31/2025,1/4/2026,JED4,2,63.6,254.4,100,400,Delivered,6,15.26
SONDOS,1G7W4QOA,Amazon Retail,1/4/2026,1/8/2026,RUH8,4,201.6,124.8,100,62,Shortage,6,7.49
SONDOS,6PH6KTZF,Amazon Retail,1/4/2026,1/8/2026,JED4,1,102.8,102.8,100,100,Delivered,6,6.17
SONDOS,6S9RVIGN,Amazon Retail,1/11/2026,1/19/2026,JED4,2,76.8,76.8,100,100,Delivered,6,4.61
SONDOS,4Q9D66FC,Amazon Retail,1/29/2026,2/4/2026,JED4,10,117.5,117.5,100,100,Delivered,6,7.05
SONDOS,2776KBES,Amazon Retail,2/1/2026,2/5/2026,JED4,8,390.7,390.7,100,100,Delivered,6,23.44
SONDOS,2NMPDC6A,Amazon Retail,2/8/2026,3/3/2026,JED4,40,1465.8,135,100,9,Shortage,6,8.1
SONDOS,47SZZRUF,Amazon Retail,2/22/2026,3/6/2026,JED4,2,122.4,61.2,100,50,Shortage,6,3.67
SONDOS,85YJNW7Z,Amazon Retail,2/26/2026,3/29/2026,RUH8,10,612,612,100,100,Delivered,6,36.72
SONDOS,8MME3VWE,Amazon Retail,2/26/2026,3/22/2026,JED4,6,367.2,367.2,100,100,Delivered,6,22.03
SONDOS,33272MDV,Amazon Retail,3/1/2026,3/29/2026,RUH8,4,244.8,244.8,100,100,Delivered,6,14.69
SONDOS,4VGJUUTB,Amazon Retail,3/1/2026,3/22/2026,JED4,4,244.8,244.8,100,100,Delivered,6,14.69
SONDOS,56ODNFEU,Amazon Retail,3/8/2026,3/12/2026,RUH8,2,122.4,122.4,100,100,Delivered,6,7.34
SONDOS,3EO1QUXF,Amazon Retail,3/15/2026,3/30/2026,JED4,1,102.8,102.8,100,100,Delivered,6,6.17
SONDOS,1KBAMBMY,Amazon Retail,3/22/2026,4/3/2026,RUH8,12,412.2,412.2,100,100,Delivered,6,24.73
SONDOS,1Y1T5K2Z,Amazon Retail,3/22/2026,4/6/2026,JED4,10,612,612,100,100,Delivered,6,36.72
SONDOS,6NWUZ15U,Amazon Retail,3/29/2026,5/6/2026,RUH8,10,612,612,100,100,Delivered,6,36.72
SONDOS,2FMA3P2X,Amazon Retail,4/12/2026,4/28/2026,RUH8,6,367.2,489.6,100,133,Delivered,6,29.38
SONDOS,5PE3P2GE,Amazon Retail,4/12/2026,4/20/2026,JED4,15,959.6,959.6,100,100,Delivered,6,57.58
SONDOS,2ZQ63SQZ,Amazon Retail,4/26/2026,5/1/2026,RUH8,4,244.8,244.8,100,100,Delivered,6,14.69
SONDOS,5C8HGLYP,Amazon Retail,4/26/2026,6/9/2026,JED4,10,612,734.4,100,120,Delivered,6,44.06
SONDOS,4DM5ZX9S,Amazon Retail,5/3/2026,5/8/2026,RUH8,16,979.2,979.2,100,100,Delivered,6,58.75
SONDOS,6YXMCSBG,Amazon Retail,5/10/2026,5/20/2026,RUH8,4,244.8,244.8,100,100,Delivered,6,14.69
SONDOS,87KN8WEU,Amazon Retail,5/10/2026,8/11/2026,RDF1,2,124.8,0,100,0,Cancelled,6,0
SONDOS,4VVUV3LF,Amazon Retail,5/14/2026,6/1/2026,RUH8,2,57.6,0,100,0,Unfulfilled,6,0
SONDOS,4J9CPFNV,Amazon Retail,5/17/2026,6/11/2026,RUH8,2,122.4,122.4,100,100,Delivered,6,7.34
SONDOS,2B23XHGH,Amazon Retail,5/24/2026,6/18/2026,JED4,6,367.2,367.2,100,100,Delivered,6,22.03
SONDOS,57VZIBCA,Amazon Retail,5/24/2026,6/3/2026,RUH8,10,612,612,100,100,Delivered,6,36.72
SONDOS,77DN671B,Amazon Retail,6/7/2026,7/14/2026,JED4,2,122.4,0,100,0,Cancelled,6,0
SONDOS,6YXQJTKI,Amazon Retail,6/14/2026,6/18/2026,RUH8,8,167.4,212.4,100,127,Delivered,6,12.74
SONDOS,78GBUJ1W,Amazon Retail,6/14/2026,6/20/2026,RDF1,1,102.8,102.8,100,100,Delivered,6,6.17
SONDOS,8MHCMNQO,Amazon Retail,6/14/2026,6/17/2026,JED4,32,991.8,991.8,100,100,Delivered,6,59.51
SONDOS,34RW3MWX,Amazon Retail,6/21/2026,6/24/2026,RDF1,2,76.8,76.8,100,100,Delivered,6,4.61
SONDOS,6DPTSK1M,Amazon Retail,6/21/2026,6/24/2026,RUH8,4,244.8,244.8,100,100,Delivered,6,14.69
SONDOS,2AMQJ9LR,Amazon Retail,6/28/2026,7/1/2026,RUH8,2,122.4,122.4,100,100,Delivered,6,7.34
SONDOS,7X4T9L9X,Amazon Retail,7/5/2026,7/10/2026,RUH8,8,167.4,0,100,0,Cancelled,6,0
SONDOS,6Z9UWMBO,Amazon Retail,7/19/2026,7/29/2026,RUH8,6,45,45,100,100,Delivered,6,2.7
SONDOS,7CS7ZUYR,Amazon Retail,7/19/2026,7/29/2026,JED4,26,256.8,128.4,100,50,Shortage,6,7.7
SONDOS,2VS58KHE,Amazon Retail,7/26/2026,7/28/2026,RDF1,2,122.4,122.4,100,100,Delivered,6,7.34
SONDOS,5249UCBK,Amazon Retail,7/26/2026,7/28/2026,RUH8,2,23.5,23.5,100,100,Delivered,6,1.41
SONDOS,64TUIPCQ,Amazon Retail,7/26/2026,8/9/2026,JED4,18,135,270,100,200,Delivered,6,16.2
SONDOS,1F6WGJRN,Amazon Retail,8/2/2026,8/4/2026,RDF1,4,244.8,244.8,100,100,Delivered,6,14.69
Wadi Halfa,523FHETX,Amazon Retail,6/22/2026,7/10/2026,RUH8,61,786.25,321.75,100,41,Shortage,4,12.87
Wadi Halfa,556EF2MV,Amazon Retail,6/22/2026,7/1/2026,JED4,5,31.72,0,0,0,Cancelled,4,0
Wadi Halfa,4KDCOEYS,Amazon Retail,6/28/2026,7/10/2026,RUH8,32,650.32,632.1,100,97,Shortage,4,25.28
Wadi Halfa,5P6LCJKX,Amazon Retail,6/28/2026,7/5/2026,JED4,3,27.45,0,0,0,Cancelled,4,0
Wadi Halfa,2J8AQOKT,Amazon Retail,7/2/2026,7/29/2026,JED4,37,337.07,0,0,0,Cancelled,4,0
Wadi Halfa,6YZAV7QM,Amazon Retail,7/2/2026,7/29/2026,RUH8,17,154.87,0,100,0,Unfulfilled,4,0
Wadi Halfa,78WHY2TK,Amazon Retail,7/5/2026,7/12/2026,JED4,11,100.33,0,0,0,Cancelled,4,0
Wadi Halfa,7WSXCEOX,Amazon Retail,7/5/2026,7/12/2026,RUH8,2,18.22,0,0,0,Cancelled,4,0
Wadi Halfa,2VN7XBLN,Amazon Retail,7/7/2026,7/29/2026,JED4,3,13.5,0,0,0,Cancelled,4,0
Wadi Halfa,87FRUE2D,Amazon Retail,7/7/2026,7/29/2026,RUH8,2,13.61,0,0,0,Cancelled,4,0
Wadi Halfa,4IRG4GZO,Amazon Retail,7/8/2026,7/29/2026,RUH8,9,68.16,0,0,0,Cancelled,4,0
Wadi Halfa,4WXUVDTB,Amazon Retail,7/8/2026,7/29/2026,JED4,3,13.5,0,0,0,Cancelled,4,0
Wadi Halfa,58KW9C2W,Amazon Retail,7/8/2026,7/29/2026,JED4,3,75,0,0,0,Cancelled,4,0
Wadi Halfa,26QOXKSP,Amazon Retail,7/12/2026,7/19/2026,JED4,19,173.21,0,0,0,Rejected,4,0
Wadi Halfa,3KVHT2BK,Amazon Retail,7/12/2026,7/19/2026,RUH8,22,191.2,0,0,0,Rejected,4,0
Wadi Halfa,5EOBBQRQ,Amazon Retail,7/19/2026,7/26/2026,RUH8,24,218.64,0,0,0,Rejected,4,0
Wadi Halfa,8ZI1SK8E,Amazon Retail,7/19/2026,7/26/2026,JED4,49,446.39,0,0,0,Rejected,4,0
Wadi Halfa,PO2600607394,Ninja Retail,7/20/2026,8/13/2026,RUH8,240,2196.96,1633.44,100,74,Shortage,4,65.34
Wadi Halfa,PO2600607555,Ninja Retail,7/20/2026,8/13/2026,JED4,130,1190.02,884.78,100,74,Shortage,4,35.39
Wadi Halfa,6WAWK77S,Amazon Retail,7/26/2026,8/11/2026,RUH8,32,674.24,948.15,100,141,Delivered,4,37.93
Wadi Halfa,PO2600629370,Ninja Retail,7/27/2026,8/13/2026,RUH8,116,780.95,240.91,100,31,Shortage,4,9.64
Wadi Halfa,PO2600629540,Ninja Retail,7/27/2026,8/13/2026,JED4,62,396.78,68.06,100,17,Shortage,4,2.72
Wadi Halfa,PO2600651634,Ninja Retail,8/3/2026,8/13/2026,RUH8,238,2008.6,2008.6,100,100,Delivered,4,80.34
Wadi Halfa,PO2600651819,Ninja Retail,8/3/2026,8/13/2026,JED4,140,1215.17,1215.17,100,100,Delivered,4,48.61
